File name	Tissue type	Subtype	Is a cancer	Cancer ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
MM1S	Blood cancer		Cancer	Multiple myeloma                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
RPMI-8402	Blood cancer		Cancer	T cell leukemia #3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
K562	Blood cancer		Cancer	CML                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
BI_Brain_Cingulate_Gyrus	Brain			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
BI_Brain_Angular_Gyrus	Brain			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BI_Brain_Anterior_Caudate	Brain			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
BI_Brain_Hippocampus_Middle_150	Brain			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
BI_Brain_Inferior_Temporal_Lobe	Brain			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u87	Brain cancer		Cancer	Glioblastoma                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
HCC1954	Breast cancer		Cancer	Breast cancer #1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
MCF-7	Breast cancer		Cancer	Breast cancer #2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
HeLa	Cervical cancer		Cancer	Cervical cancer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Colon_Crypt_2	Colon			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Colon_Crypt_1	Colon			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Colon_Crypt_3	Colon			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
HCT-116	Colrectal cancer		Cancer	Colorectal cancer #1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
VACO_400	Colrectal cancer		Cancer	Colorectal cancer #3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
VACO_503	Colrectal cancer		Cancer	Colorectal cancer #4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
VACO_9m	Colrectal cancer		Cancer	Colorectal cancer #2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CD34_fetal	Fetal blood			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
Fetal_Intestine	Fetal intestine			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
Fetal_Intestine_Large	Fetal large intestine			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Fetal_Muscle	Fetal muscle			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Fetal_Thymus	Fetal thymus			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
UCSD_Right_Atrium	Heart			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
UCSD_Right_Ventricle	Heart			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
HepG2	Liver cancer			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
IMR90	Lung	Fibroblast		                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
NHLF	Lung	Fibroblast		                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
H2171	Lung cancer		Cancer	Lung cancer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Panc1	Pancreatic cancer		Cancer	Pancreatic cancer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
LnCAP	Prostate cancer		Cancer	Prostate cancer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
BI_Skeletal_Muscle	Skeletal muscle			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Skeletal_Muscle_Myoblast	Skeletal muscle	Myoblasts		                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
HSMMtube	Skeletal muscle	Myotubes		                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
BI_Duodenum_Smooth_Muscle	Small intestine			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
BI_Stomach_Smooth_Muscle	Stomach			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
